"","pln_area","eld_bounds","area","prop_of_pln"
"1","BUKIT MERAH","TANJONG PAGAR",5575414.72898581,0.386642923637189
"2","BUKIT TIMAH","TANJONG PAGAR",2409938.77629662,0.137501445582243
"3","NOVENA","TANJONG PAGAR",2224605.45488594,0.248060043215991
"4","DOWNTOWN CORE","TANJONG PAGAR",37324.3372398816,0.00949019779178153
"5","NEWTON","TANJONG PAGAR",2068721.49270926,1
"6","ORCHARD","TANJONG PAGAR",957525.421116999,1
"7","MUSEUM","TANJONG PAGAR",728670.313420578,0.877627361967065
"8","QUEENSTOWN","TANJONG PAGAR",3230279.48505816,0.14997760194455
"9","KALLANG","TANJONG PAGAR",693802.930801454,0.0801218910405469
"10","TANGLIN","TANJONG PAGAR",7542279.83981723,0.998660961384248
"11","OUTRAM","TANJONG PAGAR",243208.068218185,0.177112220701246
"12","RIVER VALLEY","TANJONG PAGAR",1474544.08939669,0.999715228878921
"13","ROCHOR","TANJONG PAGAR",529169.169225244,0.327002709694868
"14","SINGAPORE RIVER","TANJONG PAGAR",414089.607821911,0.432432944710641
"15","BUKIT MERAH","JALAN BESAR",1234523.88633752,0.0856115549991217
"16","GEYLANG","JALAN BESAR",995373.466708765,0.103220823098068
"17","NOVENA","JALAN BESAR",2389997.75640843,0.266502514159839
"18","TOA PAYOH","JALAN BESAR",7773.79685807438,0.000950317458003182
"19","DOWNTOWN CORE","JALAN BESAR",3895611.31476564,0.990509802208218
"20","MARINA EAST","JALAN BESAR",15375.1890067453,0.010530503643737
"21","MARINA SOUTH","JALAN BESAR",1324621.72483968,1
"22","MUSEUM","JALAN BESAR",101602.698792005,0.122372638032935
"23","KALLANG","JALAN BESAR",5915881.36869371,0.683179014369026
"24","TANGLIN","JALAN BESAR",1156.57935986225,0.000153140785010333
"25","OUTRAM","JALAN BESAR",1129978.19332404,0.822887779298754
"26","RIVER VALLEY","JALAN BESAR",420.027185029816,0.000284771121078691
"27","ROCHOR","JALAN BESAR",1089071.76131328,0.672997290305132
"28","SINGAPORE RIVER","JALAN BESAR",543491.475874187,0.567567055289359
"29","STRAITS VIEW","JALAN BESAR",787122.072803974,1
"30","JURONG WEST","PIONEER",1083774.62228299,0.0738242702190664
"31","BUKIT BATOK","YUHUA",105.25361075718,9.45400052855291e-06
"32","JURONG EAST","YUHUA",1745641.82828919,0.100799260574981
"33","BISHAN","MARYMOUNT",1869485.81827842,0.245374109455614
"34","ANG MO KIO","MARYMOUNT",1370.41394678829,9.82983055257257e-05
"35","HOUGANG","HOUGANG",1427949.10735449,0.102485576065311
"36","BISHAN","MARINE PARADE",65.5948562107806,8.60946858768428e-06
"37","GEYLANG","MARINE PARADE",4899255.70114896,0.508055742848588
"38","BEDOK","MARINE PARADE",7576473.79675588,0.349500612088616
"39","SERANGOON","MARINE PARADE",2586552.81564636,0.256080634591535
"40","TOA PAYOH","MARINE PARADE",4582.30548573262,0.000560169628882499
"41","HOUGANG","MARINE PARADE",1580283.47137653,0.113418791381553
"42","MARINE PARADE","MARINE PARADE",1914364.93317235,0.31351291700614
"43","BUKIT MERAH","WEST COAST",4796936.0183847,0.332657112843366
"44","CLEMENTI","WEST COAST",3618441.07381199,0.385260155421149
"45","BOON LAY","WEST COAST",8250230.91678398,0.999993215994079
"46","TENGAH","WEST COAST",18154.9025099613,0.00246317369111084
"47","WESTERN WATER CATCHMENT","WEST COAST",9204260.75664462,0.132190476585814
"48","JURONG EAST","WEST COAST",10716476.3951754,0.618805575747213
"49","PIONEER","WEST COAST",12127392.6101914,1
"50","QUEENSTOWN","WEST COAST",17362201.4608305,0.806104038866666
"51","SOUTHERN ISLANDS","WEST COAST",6167617.49737355,1
"52","TUAS","WEST COAST",32375393.189136,1
"53","JURONG WEST","WEST COAST",10429661.9455239,0.710444926398008
"54","WESTERN ISLANDS","WEST COAST",42469520.9765118,1
