year,level_1,level_2,level_3,value
2015,Total,Total,ANG MO KIO,145.2
2015,Total,Total,BEDOK,212.5
2015,Total,Total,BISHAN,68.1
2015,Total,Total,BUKIT BATOK,105.2
2015,Total,Total,BUKIT MERAH,123
2015,Total,Total,BUKIT PANJANG,106.8
2015,Total,Total,BUKIT TIMAH,52.6
2015,Total,Total,CHOA CHU KANG,129.5
2015,Total,Total,CLEMENTI,67.5
2015,Total,Total,GEYLANG,84.8
2015,Total,Total,HOUGANG,164.2
2015,Total,Total,JURONG EAST,64.4
2015,Total,Total,JURONG WEST,210.7
2015,Total,Total,KALLANG,78.3
2015,Total,Total,MARINE PARADE,33
2015,Total,Total,NOVENA,34.2
2015,Total,Total,OUTRAM,16.4
2015,Total,Total,PASIR RIS,101.7
2015,Total,Total,PUNGGOL,77.5
2015,Total,Total,QUEENSTOWN,74.8
2015,Total,Total,SEMBAWANG,58.2
2015,Total,Total,SENGKANG,160.1
2015,Total,Total,SERANGOON,98.6
2015,Total,Total,TAMPINES,206.2
2015,Total,Total,TANGLIN,13.1
2015,Total,Total,TOA PAYOH,98.3
2015,Total,Total,WOODLANDS,177.6
2015,Total,Total,YISHUN,156.9
2015,Total,Total,OTHERS,29
2015,No Qualification,Total,ANG MO KIO,23.9
2015,No Qualification,Total,BEDOK,26.7
2015,No Qualification,Total,BISHAN,6.2
2015,No Qualification,Total,BUKIT BATOK,11.8
2015,No Qualification,Total,BUKIT MERAH,22.5
2015,No Qualification,Total,BUKIT PANJANG,12.3
2015,No Qualification,Total,BUKIT TIMAH,1.8
2015,No Qualification,Total,CHOA CHU KANG,12.3
2015,No Qualification,Total,CLEMENTI,10.1
2015,No Qualification,Total,GEYLANG,13.7
2015,No Qualification,Total,HOUGANG,22.5
2015,No Qualification,Total,JURONG EAST,9.7
2015,No Qualification,Total,JURONG WEST,26.4
2015,No Qualification,Total,KALLANG,13.5
2015,No Qualification,Total,MARINE PARADE,3.3
2015,No Qualification,Total,NOVENA,4.1
2015,No Qualification,Total,OUTRAM,3.2
2015,No Qualification,Total,PASIR RIS,8
2015,No Qualification,Total,PUNGGOL,6.9
2015,No Qualification,Total,QUEENSTOWN,11
2015,No Qualification,Total,SEMBAWANG,5
2015,No Qualification,Total,SENGKANG,17.7
2015,No Qualification,Total,SERANGOON,10.6
2015,No Qualification,Total,TAMPINES,24.1
2015,No Qualification,Total,TANGLIN,0.2
2015,No Qualification,Total,TOA PAYOH,15
2015,No Qualification,Total,WOODLANDS,19.6
2015,No Qualification,Total,YISHUN,23
2015,No Qualification,Total,OTHERS,3
2015,Primary,Total,ANG MO KIO,13.4
2015,Primary,Total,BEDOK,15.1
2015,Primary,Total,BISHAN,3.1
2015,Primary,Total,BUKIT BATOK,7.7
2015,Primary,Total,BUKIT MERAH,10.3
2015,Primary,Total,BUKIT PANJANG,8.2
2015,Primary,Total,BUKIT TIMAH,1.2
2015,Primary,Total,CHOA CHU KANG,9.5
2015,Primary,Total,CLEMENTI,4.5
2015,Primary,Total,GEYLANG,6.5
2015,Primary,Total,HOUGANG,11.3
2015,Primary,Total,JURONG EAST,4.1
2015,Primary,Total,JURONG WEST,17.6
2015,Primary,Total,KALLANG,5.5
2015,Primary,Total,MARINE PARADE,1
2015,Primary,Total,NOVENA,2.1
2015,Primary,Total,OUTRAM,0.7
2015,Primary,Total,PASIR RIS,4.4
2015,Primary,Total,PUNGGOL,3.3
2015,Primary,Total,QUEENSTOWN,5.5
2015,Primary,Total,SEMBAWANG,3.8
2015,Primary,Total,SENGKANG,9.6
2015,Primary,Total,SERANGOON,5
2015,Primary,Total,TAMPINES,12.8
2015,Primary,Total,TANGLIN,0.2
2015,Primary,Total,TOA PAYOH,8.4
2015,Primary,Total,WOODLANDS,13.9
2015,Primary,Total,YISHUN,13.4
2015,Primary,Total,OTHERS,1.1
2015,Lower Secondary,Total,ANG MO KIO,13.3
