year,constituency,constituency_type,candidates,party,vote_count,vote_percentage
1955,BUKIT PANJANG,na,Goh Tong Liang,PP,3097,0.7221
1955,BUKIT PANJANG,na,Lim Wee Toh,SLF,1192,0.2779
1955,BUKIT TIMAH,na,S. F. Ho,PP,722,0.1162
1955,BUKIT TIMAH,na,Lim Ching Siong,PAP,3259,0.5245
1955,BUKIT TIMAH,na,A. N. Mitra,SLF,924,0.1488
1955,BUKIT TIMAH,na,Tan Wah Meng,DP,1308,0.2105
1955,CAIRNHILL,na,David Marshall,SLF,3305,0.4758
1955,CAIRNHILL,na,C. C. Tan,PP,2530,0.3642
1955,CAIRNHILL,na,Tan Khiang Khoo,DP,1111,0.16
1955,CHANGI,na,C. K. Lim,DP,2624,0.4508
1955,CHANGI,na,S. G. Mohamed Ghows,PP,1699,0.2919
1955,CHANGI,na,Wong Sau Sheung,SLF,1498,0.2573
1955,FARRER PARK,na,C. T. B. Unnithan,Independent,85,0.0127
1955,FARRER PARK,na,Chua Kim Watt,Independent,37,0.0055
1955,FARRER PARK,na,A. R. Lazarous,SLF,2585,0.3852
1955,FARRER PARK,na,Devan Nair,PAP,2219,0.3307
1955,FARRER PARK,na,Eric S. B. Wee,PP,1784,0.2659
1955,GEYLANG,na,Goh Hood Kiat,Independent,1386,0.2071
1955,GEYLANG,na,Lam Joon Chong,DP,1226,0.1832
1955,GEYLANG,na,Lee Yong Min,LP,1325,0.198
1955,GEYLANG,na,Mak Pak Shee,SLF,2756,0.4117
1955,HAVELOCK,na,Chua Bock Kwee,PP,373,0.0562
1955,HAVELOCK,na,Lim Yew Hock,SLF,5744,0.8648
1955,HAVELOCK,na,C. S. Soh,Independent,525,0.079
1955,KAMPONG KAPOR,na,Dasaratha Raj,Independent,2155,0.3021
1955,KAMPONG KAPOR,na,Lim Kian Lee,PP,443,0.0621
1955,KAMPONG KAPOR,na,Seah Peng Chuan,SLF,3253,0.456
1955,KAMPONG KAPOR,na,Wong Shian Yein,DP,1283,0.1798
1955,KATONG,na,A. J. Braga,SLF,4680,0.4566
1955,KATONG,na,Chan Wah Chip,DP,2605,0.2541
1955,KATONG,na,John Laycock,PP,2965,0.2893
1955,PASIR PANJANG,na,K. M. S. Hamid,PP,2370,0.3019
1955,PASIR PANJANG,na,P. V. Krishnan,SLF,1306,0.1663
1955,PASIR PANJANG,na,Leong Foon Chew,DP,629,0.0801
1955,PASIR PANJANG,na,Wong Foo Nam,SA,3546,0.4517
1955,PAYA LEBAR,na,Lim Koon Teck,PP,3330,0.5207
1955,PAYA LEBAR,na,Tan Eng Joo,DP,3065,0.4793
1955,PUNGGOL-TAMPINES,na,H. A. De Silva,PP,796,0.2072
1955,PUNGGOL-TAMPINES,na,Anthony Goh,DP,918,0.239
1955,PUNGGOL-TAMPINES,na,Goh Chew Chua,PAP,2127,0.5538
1955,QUEENSTOWN,na,Murray Brash,DP,736,0.1773
1955,QUEENSTOWN,na,Elizabeth Choy,PP,622,0.1499
1955,QUEENSTOWN,na,Lee Choon Eng,SLF,2792,0.6728
1955,ROCHORE,na,Ong Eng Lian,DP,1897,0.2995
1955,ROCHORE,na,Soh Ghee Soon,PP,1507,0.238
1955,ROCHORE,na,Tan Theng Chiang,SLF,2929,0.4625
1955,SELETAR,na,P. G. Khew,SLF,909,0.1634
1955,SELETAR,na,Lek Poh Song,Independent,1632,0.2933
1955,SELETAR,na,M. P. D. Nair,Independent,1771,0.3183
1955,SELETAR,na,Tan Leong Teck,DP,1252,0.225
1955,SEMBAWANG,na,Ahmad Ibrahim,Independent,4281,0.6324
1955,SEMBAWANG,na,Lee Kim Kee,PP,2488,0.3676
1955,SERANGOON,na,Lim Choon Mong,PP,2172,0.4583
1955,SERANGOON,na,Lim Chye Seng,DP,1412,0.298
1955,SERANGOON,na,Lim Siew Ek,SA,1155,0.2437
1955,SOUTHERN ISLANDS,na,"Kulasingha, H. J. C.",PP,1205,0.4943
1955,SOUTHERN ISLANDS,na,Mohamed Sidik bin H. A. Hamid,SA,1233,0.5057
1955,STAMFORD,na,J. M. Jumabhoy,SLF,2691,0.4308
1955,STAMFORD,na,Nazir Mallal,PP,1153,0.1846
1955,STAMFORD,na,Ng Sen Choy,DP,1121,0.1795
1955,STAMFORD,na,Simon,Independent,1281,0.2051
1955,TANGLIN,na,John Ede,PP,3214,0.4567
1955,TANGLIN,na,Lim Seow Chuan,SLF,1322,0.1879
1955,TANGLIN,na,Lim Yong Bock,DP,2501,0.3554
1955,TANJONG PAGAR,na,Lam Thian,DP,760,0.0987
1955,TANJONG PAGAR,na,Lee Kuan Yew,PAP,6029,0.7833
1955,TANJONG PAGAR,na,Lim Seck Tiong,PP,908,0.118
1955,TELOK AYER,na,"Jumabhoy, R.",Independent,1945,0.399
1955,TELOK AYER,na,Sng Siak Hwee,DP,1477,0.303
1955,TELOK AYER,na,Tan Ewe Chee,SLF,1453,0.298
1955,TIONG BAHRU,na,Foo Few Ting,PP,2100,0.358
1955,TIONG BAHRU,na,William Tan,DP,2264,0.386
1955,TIONG BAHRU,na,Teo Seng Bee,SA,1502,0.256
1955,ULU BEDOK,na,Abdul Hamid bin Jumat,SA,5721,0.6104
1955,ULU BEDOK,na,A. Hamid Rahmat,PP,652,0.0696
1955,ULU BEDOK,na,Toh Seng Sit,DP,2999,0.32
1955,WHAMPOA,na,Chew Swee Kee,SLF,2961,0.4588
1955,WHAMPOA,na,Lee Kok Liang,DP,927,0.1437
1955,WHAMPOA,na,Thio Chan Bee,PP,2565,0.3975
1959,ALJUNIED,na,E. H. Holloway,LSP,5004,0.4336
1959,ALJUNIED,na,Tang Yoong Chiaw,PRSSD,835,0.0724
1959,ALJUNIED,na,S. V. Lingam,PAP,5701,0.494
1959,ANSON,na,Baharudin bin Mohamed Ariff,PAP,5167,0.6075
1959,ANSON,na,Goh Kong Beng,SPA,1875,0.2204
1959,ANSON,na,P. Krishanan,Independent,116,0.0136
1959,ANSON,na,Tan Cheng Chuan,LSP,1231,0.1447
1959,ANSON,na,Wong Swee Kee,Independent,117,0.0138
1959,BRAS BASAH,na,Foo Ho Fang,LSP,1993,0.2096
1959,BRAS BASAH,na,Goh Hin Shong,SPA,1501,0.1579
1959,BRAS BASAH,na,Hoe Puay Choo,PAP,6014,0.6325
1959,BUKIT MERAH,na,Lee Choon Eng,Independent,1073,0.1071
1959,BUKIT MERAH,na,Sellappa Ramaswamy,PAP,5922,0.5909
1959,BUKIT MERAH,na,Teo Cheng Hye,SPA,3026,0.302
1959,BUKIT PANJANG,na,T. K. Alexander,Independent,526,0.0498
